# SMDR (Standard Model in Dimensional Regularization) v1.0
# Q = 173.100000;
# gauge  couplings: g3 = 1.163624;      g = 0.647660;      gp = 0.358539;
# Yukawa couplings: yt = 0.934801;     yb = 0.015480;    ytau = 0.00999444;
#                   yc = 0.0033820;    ys = 0.00029094;   ymu = 0.000588380;
#                   yu = 0.0000067228; yd = 0.000014610;   ye = 0.00000279298;
# Higgs self-coupling lambda = 0.126038;
# Higgs VEV = 246.601091;
# Delta_hadronic^(5) alpha(MZ) = 0.027640
# 
# COLUMN DESCRIPTIONS:
# 1  Q (from SMDR_Mtau_EXPT down to SMDR_mcmc_EXPT)
# 2  alphaS
# 3  alpha
# 4  mc
# 5  ms
# 6  md
# 7  mu
# 8  mmuon
# 9  melectron
# 
# In the paper: arXiv:1907.02500
# Standard Model parameters in the tadpole-free pure MSbar scheme
# by Stephen P. Martin and David G. Robertson,
# Figure 2.2a graphs columns 2 and 3 as a function of column 1, and
# Figure 2.2b graphs columns 4, 5, 6, 7, 8, and 9 as a function of column 1.
# 
1.776860  0.32030264  0.00749225  1.12428442  0.09621534  0.00483146  0.00223502  0.10436324  0.00049540
1.747273  0.32308121  0.00749110  1.13016103  0.09671616  0.00485661  0.00224670  0.10436949  0.00049543
1.718178  0.32591399  0.00748995  1.13614286  0.09722597  0.00488221  0.00225859  0.10437574  0.00049546
1.689568  0.32880271  0.00748880  1.14223326  0.09774505  0.00490827  0.00227070  0.10438199  0.00049549
1.661435  0.33174918  0.00748765  1.14843573  0.09827369  0.00493482  0.00228303  0.10438824  0.00049552
1.633770  0.33475530  0.00748649  1.15475395  0.09881221  0.00496186  0.00229559  0.10439449  0.00049555
1.606565  0.33782303  0.00748534  1.16119176  0.09936094  0.00498941  0.00230839  0.10440074  0.00049558
1.579814  0.34095445  0.00748419  1.16775319  0.09992022  0.00501750  0.00232143  0.10440698  0.00049561
1.553508  0.34415173  0.00748303  1.17444246  0.10049041  0.00504613  0.00233473  0.10441323  0.00049564
1.527640  0.34741714  0.00748188  1.18126402  0.10107189  0.00507533  0.00234829  0.10441947  0.00049567
1.502202  0.35075307  0.00748073  1.18822252  0.10166506  0.00510512  0.00236212  0.10442572  0.00049570
1.477189  0.35416204  0.00747957  1.19532287  0.10227034  0.00513551  0.00237624  0.10443196  0.00049573
1.452592  0.35764668  0.00747841  1.20257023  0.10288817  0.00516654  0.00239065  0.10443821  0.00049576
1.428404  0.36120976  0.00747726  1.20997002  0.10351901  0.00519821  0.00240536  0.10444445  0.00049579
1.404619  0.36485420  0.00747610  1.21752799  0.10416336  0.00523057  0.00242038  0.10445069  0.00049582
1.381230  0.36858307  0.00747494  1.22525015  0.10482171  0.00526363  0.00243573  0.10445694  0.00049585
1.358231  0.37239963  0.00747378  1.23314290  0.10549463  0.00529742  0.00245142  0.10446318  0.00049588
1.335615  0.37630728  0.00747262  1.24121297  0.10618269  0.00533197  0.00246747  0.10446942  0.00049591
1.313375  0.38030964  0.00747146  1.24946748  0.10688649  0.00536731  0.00248388  0.10447566  0.00049594
1.291505  0.38441053  0.00747030  1.25791398  0.10760668  0.00540348  0.00250067  0.10448190  0.00049597
1.270000  0.38861399  0.00746913  1.26656048  0.10834394  0.00544050  0.00251786  0.10448814  0.00049600
