# SMDR (Standard Model in Dimensional Regularization) v1.0
# Q = 173.100000;
# gauge  couplings: g3 = 1.163624;      g = 0.647660;      gp = 0.358539;
# Yukawa couplings: yt = 0.934801;     yb = 0.015480;    ytau = 0.00999444;
#                   yc = 0.0033820;    ys = 0.00029094;   ymu = 0.000588380;
#                   yu = 0.0000067228; yd = 0.000014610;   ye = 0.00000279298;
# Higgs self-coupling lambda = 0.126038;
# Higgs VEV = 246.601091;
# Delta_hadronic^(5) alpha(MZ) = 0.027640
# 
# COLUMN DESCRIPTIONS:
# 1  Q (from SMDR_mbmb_EXPT down to SMDR_Mtau_EXPT)
# 2  alphaS
# 3  alpha
# 4  mc
# 5  ms
# 6  md
# 7  mu
# 8  mtau
# 9  mmuon
# 10  melectron
# 
# In the paper: arXiv:1907.02500
# Standard Model parameters in the tadpole-free pure MSbar scheme
# by Stephen P. Martin and David G. Robertson,
# Figure 2.2a graphs columns 2 and 3 as a function of column 1, and
# Figure 2.2b graphs columns 4, 5, 6, 7, 8, 9, and 10 as a function
# of column 1.
# 
4.180000  0.22518781  0.00756090  0.91541866  0.07842574  0.00393815  0.00181980  1.76725331  0.10404389  0.00049389
4.004978  0.22849377  0.00755747  0.92301257  0.07907208  0.00397061  0.00183490  1.76752514  0.10405990  0.00049396
3.837284  0.23190550  0.00755404  0.93081688  0.07973637  0.00400397  0.00185042  1.76779688  0.10407589  0.00049404
3.676612  0.23542841  0.00755061  0.93884196  0.08041950  0.00403827  0.00186637  1.76806855  0.10409189  0.00049411
3.522668  0.23906833  0.00754718  0.94709891  0.08112241  0.00407357  0.00188278  1.76834014  0.10410788  0.00049419
3.375169  0.24283150  0.00754375  0.95559964  0.08184612  0.00410991  0.00189968  1.76861164  0.10412386  0.00049427
3.233846  0.24672463  0.00754032  0.96435699  0.08259172  0.00414735  0.00191709  1.76888307  0.10413984  0.00049434
3.098441  0.25075495  0.00753690  0.97338476  0.08336041  0.00418595  0.00193504  1.76915441  0.10415582  0.00049442
2.968705  0.25493028  0.00753347  0.98269784  0.08415343  0.00422577  0.00195355  1.76942568  0.10417179  0.00049449
2.844402  0.25925905  0.00753004  0.99231236  0.08497218  0.00426688  0.00197267  1.76969686  0.10418775  0.00049457
2.725303  0.26375038  0.00752661  1.00224574  0.08581814  0.00430936  0.00199241  1.76996797  0.10420371  0.00049464
2.611191  0.26841418  0.00752318  1.01251692  0.08669293  0.00435329  0.00201283  1.77023899  0.10421967  0.00049472
2.501857  0.27326121  0.00751975  1.02314647  0.08759830  0.00439875  0.00203396  1.77050994  0.10423562  0.00049480
2.397101  0.27830319  0.00751632  1.03415681  0.08853616  0.00444585  0.00205585  1.77078080  0.10425157  0.00049487
2.296731  0.28355292  0.00751289  1.04557244  0.08950861  0.00449468  0.00207854  1.77105158  0.10426751  0.00049495
2.200564  0.28902438  0.00750946  1.05742018  0.09051794  0.00454536  0.00210210  1.77132228  0.10428345  0.00049502
2.108423  0.29473293  0.00750603  1.06972947  0.09156666  0.00459802  0.00212657  1.77159290  0.10429938  0.00049510
2.020141  0.30069542  0.00750260  1.08253270  0.09265753  0.00465280  0.00215202  1.77186345  0.10431531  0.00049517
1.935555  0.30693046  0.00749916  1.09586565  0.09379362  0.00470985  0.00217852  1.77213391  0.10433123  0.00049525
1.854511  0.31345860  0.00749573  1.10976793  0.09497829  0.00476934  0.00220616  1.77240429  0.10434715  0.00049533
1.776860  0.32030264  0.00749229  1.12428355  0.09621532  0.00483146  0.00223502  1.77267459  0.10436306  0.00049540
